speaker,title,date,url,slides,note
"Philip Offtermatt","Directed Reachability for Infinite-State Systems ","19/03/2021",https://www.usherbrooke.ca/informatique/recherche/club-informatique/,,Club informatique
"Andres Pastrana","Massive Parallelization of branching algorithms ","19/01/2021",https://www.usherbrooke.ca/informatique/recherche/club-informatique/#c62031-1,,Club informatique
"Philip Offtermatt","Approaching Safety for Parameterized Systems using View Abstraction","11/03/2020",./seminars/offtermatt20.txt,,
"Philippe Lamontagne","Calcul sûr biparti à l'ère de l'information quantique","05/12/2019",./seminars/lamontagne19.txt,,
"Daniel Amyot","Forage de modèles de processus: amélioration du prétraitement et intégration de buts","15/11/2019",./seminars/amyot19.txt,,
"Alain Finkel","Verification of Flat FIFO Systems","03/10/2019",./seminars/finkel19.txt,,
"Filip Mazowiecki","The Reachability Problem for Petri Nets is Not Elementary","02/05/2019",./seminars/mazowiecki19.txt,,
"Stefan Jaax","Parameterized Verification of Population Protocols","24/11/2018","https://info.usherbrooke.ca/informatique/seminaires/parameterized-verification-of-population-protocols",,
"Jean-Raymond Abrial","Un autre exemple d'ingénierie mathématique: Le théorème de Goodstein","03/10/2018","https://www.usherbrooke.ca/informatique/accueil/evenements/evenements-details/e/38193/",,
"Jean-Raymond Abrial","Ingénierie mathématique: définition et exemple","19/09/2018","https://www.usherbrooke.ca/informatique/accueil/evenements/evenements-details/e/38192/",,
